AWB,ConsigneePostal,KiloWgt,PieceQty,CommitDate,DestLocCd,CourierRoute
7.76E+11,47301,0.5,1,19/9/2012,XKL,970972
7.76E+11,42100,14.8,3,19/9/2013,XKL,KAPAR+
8.13E+11,64000,0.8,1,19/9/2012,MKZ,
6.77E+11,79200,52,2,19/9/2017,JHB,
8.10E+11,50250,6,1,19/9/2011,KUL,
8.14E+11,43000,15.5,2,19/9/2012,RDN,
7.76E+11,81100,6,1,19/9/2017,JHB,
1.21E+11,81750,0.5,1,19/9/2013,JHB,
7.90E+11,47810,2.5,1,19/9/2013,XKL,977982
7.76E+11,40300,6,1,19/9/2013,XKL,925926
7.76E+11,57000,4.5,1,19/9/2017,KUL,879
1.07E+11,40000,1.5,1,19/9/2013,XKL,927928
7.76E+11,81300,3,1,19/9/2017,JHB,
8.13E+11,53300,0.7,1,19/9/2020,KUL,837
4.73E+11,47200,34,1,19/9/2013,XKL,KULBK+
8.11E+11,43207,2,1,19/9/2013,XKL,KULAAA
7.90E+11,43650,7,1,19/9/2017,RDN,
7.76E+11,50480,1,1,19/9/2017,KUL,859
8.12E+11,50480,0.5,1,19/9/2013,KUL,833
7.76E+11,50470,0.5,1,19/9/2012,KUL,850
7.90E+11,47301,2.9,1,19/9/2017,XKL,971972
7.90E+11,58200,0,1,19/9/2013,KUL,871
4.52E+11,26080,0.2,1,19/9/2017,KUA,
7.76E+11,75200,0.2,1,19/9/2013,MKZ,
7.76E+11,40200,46,2,19/9/2017,XKL,911926
4.58E+11,64000,54.9,8,19/9/2013,MKZ,
7.76E+11,70400,1,1,19/9/2017,RDN,
4.89E+11,47100,3.7,1,19/9/2017,XKL,965936
7.90E+11,81500,8.1,2,19/9/2017,JHB,
6.52E+11,50490,3.6,1,19/9/2017,KUL,857
7.76E+11,55100,0.5,1,19/9/2017,KUL,815
7.76E+11,60000,0.5,1,19/9/2018,XKL,979974
7.76E+11,58200,0.5,1,19/9/2017,KUL,872
7.76E+11,40150,0.5,1,19/9/2017,XKL,RAWANG
7.76E+11,70300,0.5,1,19/9/2017,RDN,
7.76E+11,68000,0.5,1,19/9/2017,KUL,814
7.76E+11,47000,0.5,1,19/9/2017,XKL,985982
7.76E+11,47301,0.5,1,19/9/2017,XKL,979976
8.14E+11,47200,3,1,19/9/2012,XKL,RAWANG
1.10E+11,46050,1.8,1,19/9/2013,KUL,860
7.90E+11,47600,18.4,1,19/9/2013,XKL,937934
7.76E+11,40460,10.8,2,19/9/2017,XKL,929928
7.90E+11,93450,4,1,19/9/2017,KCH,
8.14E+11,40000,5,1,19/9/2012,XKL,911926
8.10E+11,41050,1.6,1,19/9/2013,XKL,KAPAR+
1.21E+11,81800,0.4,1,19/9/2013,JHB,
1.09E+11,47800,1.3,1,19/9/2013,XKL,979976
7.90E+11,47200,6.8,1,19/9/2013,XKL,KULBK+
1.07E+11,45600,0.3,1,19/9/2018,SZB,
